,Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,analysis_url,duration_ms,time_signature
0,1,Rólegur Kúreki,BRÍET,76021,https://open.spotify.com/track/5qI0p2E7BxBxYRJknYr6Gg,0.43,0.312,3.0,-9.888,1.0,0.0284,0.498,0.0,0.14,0.174,82.51700000000001,audio_features,5qI0p2E7BxBxYRJknYr6Gg,spotify:track:5qI0p2E7BxBxYRJknYr6Gg,https://api.spotify.com/v1/audio-analysis/5qI0p2E7BxBxYRJknYr6Gg,228352.0,4.0
1,2,Djúp Sár Gróa Hægt,BRÍET,40634,https://open.spotify.com/track/1aPtR7RxPkPBL385B9FYEl,0.375,0.158,2.0,-12.675,1.0,0.0347,0.5920000000000001,5.47e-05,0.126,0.0776,71.87100000000001,audio_features,1aPtR7RxPkPBL385B9FYEl,spotify:track:1aPtR7RxPkPBL385B9FYEl,https://api.spotify.com/v1/audio-analysis/1aPtR7RxPkPBL385B9FYEl,251438.0,3.0
2,3,Sólblóm,BRÍET,38017,https://open.spotify.com/track/1JErDzdamBvSZQr7xaDToq,0.701,0.456,1.0,-10.221,0.0,0.0344,0.19,0.0513,0.508,0.265,124.96700000000001,audio_features,1JErDzdamBvSZQr7xaDToq,spotify:track:1JErDzdamBvSZQr7xaDToq,https://api.spotify.com/v1/audio-analysis/1JErDzdamBvSZQr7xaDToq,261050.0,4.0
3,4,Lonely (with benny blanco),Justin Bieber,35214,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,0.631,0.239,11.0,-7.071000000000001,0.0,0.0398,0.8640000000000001,0.0,0.11599999999999999,0.0927,79.859,audio_features,4y4spB9m0Q6026KfkAvy9Q,spotify:track:4y4spB9m0Q6026KfkAvy9Q,https://api.spotify.com/v1/audio-analysis/4y4spB9m0Q6026KfkAvy9Q,149297.0,4.0
4,5,Rauðar Rósir Fölna,BRÍET,34497,https://open.spotify.com/track/4LHLf9XFfhS9Zcm9xPhxBm,0.316,0.226,8.0,-10.954,0.0,0.0295,0.731,0.00031600000000000004,0.0971,0.0857,99.20100000000001,audio_features,4LHLf9XFfhS9Zcm9xPhxBm,spotify:track:4LHLf9XFfhS9Zcm9xPhxBm,https://api.spotify.com/v1/audio-analysis/4LHLf9XFfhS9Zcm9xPhxBm,288595.0,3.0
5,6,Esjan,BRÍET,31988,https://open.spotify.com/track/7DRDJ5ZzU7mj7CfRxGYzOY,0.335,0.275,2.0,-9.057,0.0,0.0307,0.902,1.83e-06,0.0645,0.223,153.234,audio_features,7DRDJ5ZzU7mj7CfRxGYzOY,spotify:track:7DRDJ5ZzU7mj7CfRxGYzOY,https://api.spotify.com/v1/audio-analysis/7DRDJ5ZzU7mj7CfRxGYzOY,254816.0,3.0
6,7,Hann Er Ekki Þú,BRÍET,30038,https://open.spotify.com/track/0fpxRRIrZemEo8EdTVicN3,0.563,0.7020000000000001,10.0,-8.755,0.0,0.0344,0.00556,0.0266,0.132,0.171,104.98100000000001,audio_features,0fpxRRIrZemEo8EdTVicN3,spotify:track:0fpxRRIrZemEo8EdTVicN3,https://api.spotify.com/v1/audio-analysis/0fpxRRIrZemEo8EdTVicN3,240515.0,4.0
7,8,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,29662,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,0.8,0.6579999999999999,1.0,-6.142,0.0,0.079,0.25,0.0,0.111,0.462,140.042,audio_features,7hxHWCCAIIxFLCzvDgnQHX,spotify:track:7hxHWCCAIIxFLCzvDgnQHX,https://api.spotify.com/v1/audio-analysis/7hxHWCCAIIxFLCzvDgnQHX,195429.0,4.0
8,9,Fimm,BRÍET,29637,https://open.spotify.com/track/07pDiOE4MapRnzP6KdrRKX,0.433,0.623,1.0,-7.914,0.0,0.0297,0.0316,0.0073,0.0688,0.40299999999999997,175.94799999999998,audio_features,07pDiOE4MapRnzP6KdrRKX,spotify:track:07pDiOE4MapRnzP6KdrRKX,https://api.spotify.com/v1/audio-analysis/07pDiOE4MapRnzP6KdrRKX,277270.0,4.0
9,10,What You Know Bout Love,Pop Smoke,26480,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,0.7090000000000001,0.5479999999999999,10.0,-8.493,1.0,0.353,0.65,1.59e-06,0.133,0.5429999999999999,83.995,audio_features,1tkg4EHVoqnhR6iFEXb60y,spotify:track:1tkg4EHVoqnhR6iFEXb60y,https://api.spotify.com/v1/audio-analysis/1tkg4EHVoqnhR6iFEXb60y,160000.0,4.0
10,11,Nær Þér,BRÍET,24951,https://open.spotify.com/track/2AGpySXoH4pRUixiqizhqh,0.608,0.826,1.0,-6.292999999999999,0.0,0.0391,0.00677,0.0705,0.22,0.42700000000000005,99.995,audio_features,2AGpySXoH4pRUixiqizhqh,spotify:track:2AGpySXoH4pRUixiqizhqh,https://api.spotify.com/v1/audio-analysis/2AGpySXoH4pRUixiqizhqh,191988.0,4.0
11,12,WAP (feat. Megan Thee Stallion),Cardi B,23733,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,0.935,0.45399999999999996,1.0,-7.5089999999999995,1.0,0.375,0.0194,0.0,0.0824,0.35700000000000004,133.07299999999998,audio_features,4Oun2ylbjFKMPTiaSbbCih,spotify:track:4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/audio-analysis/4Oun2ylbjFKMPTiaSbbCih,187541.0,4.0
12,13,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,23687,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,0.823,0.586,6.0,-6.606,0.0,0.2,0.114,0.0,0.193,0.34700000000000003,125.971,audio_features,0PvFJmanyNQMseIFrU708S,spotify:track:0PvFJmanyNQMseIFrU708S,https://api.spotify.com/v1/audio-analysis/0PvFJmanyNQMseIFrU708S,190476.0,4.0
13,14,Draumaland,BRÍET,22634,https://open.spotify.com/track/7DFcWJ94QqofcLoeWltsBo,0.7090000000000001,0.489,5.0,-9.511000000000001,1.0,0.036000000000000004,0.0384,0.0985,0.331,0.154,99.99799999999999,audio_features,7DFcWJ94QqofcLoeWltsBo,spotify:track:7DFcWJ94QqofcLoeWltsBo,https://api.spotify.com/v1/audio-analysis/7DFcWJ94QqofcLoeWltsBo,273308.0,4.0
14,15,Mood (feat. iann dior),24kGoldn,22576,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,0.7,0.722,7.0,-3.5580000000000003,0.0,0.0369,0.221,0.0,0.272,0.7559999999999999,90.98899999999999,audio_features,3tjFYV6RSFtuktYl3ZtYcq,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/audio-analysis/3tjFYV6RSFtuktYl3ZtYcq,140526.0,4.0
15,16,Stjörnurnar,Herra Hnetusmjör,22109,https://open.spotify.com/track/1bVpkedNmNQzcrQcfBRHyo,0.6809999999999999,0.552,6.0,-4.048,1.0,0.0589,0.193,0.0,0.0898,0.7709999999999999,84.964,audio_features,1bVpkedNmNQzcrQcfBRHyo,spotify:track:1bVpkedNmNQzcrQcfBRHyo,https://api.spotify.com/v1/audio-analysis/1bVpkedNmNQzcrQcfBRHyo,163059.0,4.0
16,17,Holy (feat. Chance The Rapper),Justin Bieber,21803,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,0.6729999999999999,0.7040000000000001,6.0,-8.056000000000001,1.0,0.36,0.196,0.0,0.0898,0.37200000000000005,86.919,audio_features,5u1n1kITHCxxp8twBcZxWy,spotify:track:5u1n1kITHCxxp8twBcZxWy,https://api.spotify.com/v1/audio-analysis/5u1n1kITHCxxp8twBcZxWy,212093.0,4.0
17,18,positions,Ariana Grande,21284,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,0.737,0.802,0.0,-4.771,1.0,0.0878,0.46799999999999997,0.0,0.0931,0.682,144.015,audio_features,35mvY5S1H3J2QZyna3TFe0,spotify:track:35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/audio-analysis/35mvY5S1H3J2QZyna3TFe0,172325.0,4.0
18,19,Eltum Sólina (Intermission),BRÍET,21068,https://open.spotify.com/track/2u1x5FoHDaSIk0QWAOodKw,0.402,0.0991,9.0,-20.384,0.0,0.055,0.9440000000000001,0.648,0.33399999999999996,0.36200000000000004,68.572,audio_features,2u1x5FoHDaSIk0QWAOodKw,spotify:track:2u1x5FoHDaSIk0QWAOodKw,https://api.spotify.com/v1/audio-analysis/2u1x5FoHDaSIk0QWAOodKw,169091.0,4.0
19,20,Put Your Records On,Ritt Momney,20150,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,0.39899999999999997,0.491,6.0,-10.777999999999999,0.0,0.0538,0.0563,0.0008900000000000001,0.11,0.151,91.066,audio_features,6AGOKlMZWLCaEJGnaROtF9,spotify:track:6AGOKlMZWLCaEJGnaROtF9,https://api.spotify.com/v1/audio-analysis/6AGOKlMZWLCaEJGnaROtF9,210463.0,4.0
20,21,you broke me first,Tate McRae,17692,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,4.0,-9.389,1.0,0.05,0.785,0.0,0.0906,0.0823,124.148,audio_features,45bE4HXI0AwGZXfZtMp8JR,spotify:track:45bE4HXI0AwGZXfZtMp8JR,https://api.spotify.com/v1/audio-analysis/45bE4HXI0AwGZXfZtMp8JR,169266.0,4.0
21,22,Mood Swings (feat. Lil Tjay),Pop Smoke,17651,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,0.48,0.602,10.0,-6.335,0.0,0.368,0.48700000000000004,0.0,0.0848,0.26899999999999996,179.798,audio_features,5rZlwNFl01HqLWBQGryKSm,spotify:track:5rZlwNFl01HqLWBQGryKSm,https://api.spotify.com/v1/audio-analysis/5rZlwNFl01HqLWBQGryKSm,213333.0,4.0
22,23,Head & Heart (feat. MNEK),Joel Corry,16272,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,0.7340000000000001,0.8740000000000001,8.0,-3.158,1.0,0.0662,0.168,1.1400000000000001e-05,0.0489,0.905,122.95299999999999,audio_features,6cx06DFPPHchuUAcTxznu9,spotify:track:6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/audio-analysis/6cx06DFPPHchuUAcTxznu9,166028.0,4.0
